"year","id","hrs1","marital","childs","income","happy","ballot"
2000,360,"60","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,361,"46","Married","3","$25000 or more","Very happy","Ballot c"
2000,362,"Not applicable","Separated","1","$25000 or more","Pretty happy","Ballot b"
2000,363,"60","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,364,"40","Never married","0","Refused","Pretty happy","Ballot c"
2000,365,"60","Married","0","$25000 or more","Pretty happy","Ballot a"
2000,366,"40","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,367,"5","Divorced","0","$25000 or more","Pretty happy","Ballot c"
2000,368,"40","Married","3","$25000 or more","Pretty happy","Ballot a"
2000,369,"45","Married","3","$25000 or more","Pretty happy","Ballot c"
2000,370,"35","Never married","1","$25000 or more","Pretty happy","Ballot b"
2000,371,"60","Never married","0","$15000 - 19999","Pretty happy","Ballot b"
2000,372,"40","Never married","0","$25000 or more","Not too happy","Ballot b"
2000,373,"42","Never married","0","$20000 - 24999","Pretty happy","Ballot c"
2000,374,"40","Divorced","0","$25000 or more","Not too happy","Ballot a"
2000,375,"45","Married","2","$25000 or more","Pretty happy","Ballot b"
2000,376,"40","Married","1","$25000 or more","Very happy","Ballot a"
2000,377,"35","Divorced","0","$25000 or more","Very happy","Ballot a"
2000,378,"Not applicable","Never married","0","$3000 to 3999","Not too happy","Ballot c"
2000,379,"40","Never married","0","$25000 or more","Pretty happy","Ballot b"
2000,380,"Not applicable","Married","6","$10000 - 14999","Very happy","Ballot b"
2000,381,"40","Never married","0","$25000 or more","Pretty happy","Ballot c"
2000,382,"Not applicable","Widowed","2","Refused","Very happy","Ballot b"
2000,383,"44","Married","1","$25000 or more","Very happy","Ballot a"
2000,384,"Not applicable","Married","3","$25000 or more","Pretty happy","Ballot c"
2000,385,"Not applicable","Divorced","0","$25000 or more","Pretty happy","Ballot a"
2000,386,"Not applicable","Married","1","$25000 or more","Pretty happy","Ballot a"
2000,387,"40","Married","2","$25000 or more","Very happy","Ballot b"
2000,388,"55","Separated","2","$25000 or more","Pretty happy","Ballot c"
2000,389,"35","Married","2","$25000 or more","Very happy","Ballot c"
